German,Arabic,Pronunciation,Article,Plural,Type,Level,Tags,Status,Mastery,Quality Issues
das Bild,الصورة,داس بيلد,das,,noun,,,new,0,
das Blatt,الورقة,داس بلاتت,das,,noun,,,new,0,
das Blut,الدم,داس بلوت,das,,noun,,,new,0,
das Brautkleid,فستان الزفاف,داس برآوتكلآيد,das,,noun,,,new,0,
das Brautpaar,العروس والعريس,داس برآوتباار,das,,noun,,,new,0,
das Brot,الخبز,داس بروت,das,,noun,,,new,0,
das Brötchen,كعكة الخبز,داس بروِتشن,das,,noun,,,new,0,
das Bundesland,الدولة الفيدرالية,داس بوندِزلاند,das,,noun,,,new,0,
das Butterbrot,الخبز المدهون بالزبدة,داس بوتتربروت,das,,noun,,,new,0,
das Büro,المكتب,داس بورو,das,,noun,,,new,0,
das Cafe,المقهى,داس كافه,das,,noun,,,new,0,
das Computerproblem,مشكلة الكمبيوتر,داس كومبوتربروبلِم,das,,noun,,,new,0,
das Datum,التاريخ,داس داتوم,das,,noun,,,new,0,
das Design,التصميم,داس دِزيغن,das,,noun,,,new,0,
das Dessert,الحلوى,داس دِززرت,das,,noun,,,new,0,
das Detail,التفاصيل,داس دِتآيل,das,,noun,,,new,0,
das Deutschbuch,الكتاب المدرسي الألماني,داس دأويتشبوخ,das,,noun,,,new,0,
das Deutsche,الألماني,داس دأويتشه,das,,noun,,,new,0,
das Ding,الشيء,داس دينغ,das,,noun,,,new,0,
das Dings,الشيء,داس دينغز,das,,noun,,,new,0,
das Dokument,الوثيقة,داس دوكومنت,das,,noun,,,new,0,
das Doppelzimmer,الغرفة المزدوجة,داس دوببلتسيممر,das,,noun,,,new,0,
das Dorf,القرية,داس دورف,das,,noun,,,new,0,
das Double Feature,العرض المزدوج,داس دووبله فِاتوره,das,,phrase,,,new,0,
das Drama,الدراما,داس دراما,das,,noun,,,new,0,
das Duschgel,جل الاستحمام,داس دوشغل,das,,noun,,,new,0,
das E-Book,الكتاب الإلكتروني,داس ه-بووك,das,,noun,,,new,0,
das Ei,البيضة,داس آي,das,,noun,,,new,0,
das Einzelzimmer,الغرفة الفردية,داس آينتسلتسيممر,das,,noun,,,new,0,
das Eis,الجليد,داس آيز,das,,noun,,,new,0,
das Ende,النهاية,داس نده,das,,noun,,,new,0,
das Englisch-Studium,دراسات اللغة الإنجليزية,داس نغليش-شتوديوم,das,,noun,,,new,0,
das Erdgeschoss,الطابق الأرضي,داس ردغهشوزز,das,,noun,,,new,0,
das Ereignis,الحدث,داس رآيغنيز,das,,noun,,,new,0,
das Ergebnis,النتيجة,داس رغهبنيز,das,,noun,,,new,0,
das Essen,الطعام,داس ِززن,das,,noun,,,new,0,
das Event,الحدث,داس ِفنت,das,,noun,,,new,0,
das Experiment,التجربة,داس ِكسبريمنت,das,,noun,,,new,0,
das Fach,الموضوع,داس فاخ,das,,noun,,,new,0,
das Fachwerkhaus,المنزل ذو الإطار الخشبي,داس فاخفركهآوز,das,,noun,,,new,0,
das Familienfoto,صورة العائلة,داس فاميلينفوتو,das,,noun,,,new,0,
das Fenster,النافذة,داس فنزتر,das,,noun,,,new,0,
das Fernsehen,التلفزيون,داس فرنزِهن,das,,noun,,,new,0,
das Fest,الحزب,داس فِزت,das,,noun,,,new,0,
das Festival,المهرجان,داس فِزتيفال,das,,noun,,,new,0,
das Festspiel,المهرجان,داس فِزتزبيل,das,,noun,,,new,0,
das Fett,الدهون,داس فِتت,das,,noun,,,new,0,
das Feuerwerk,الألعاب النارية,داس فأويرفرك,das,,noun,,,new,0,
das Fieber,الحمى,داس فيبر,das,,noun,,,new,0,
das Fischgericht,طبق السمك,داس فيشغريشت,das,,noun,,,new,0,
das Fitness-Studio,صالة الألعاب الرياضية,داس فيتنِزز-شتوديو,das,,noun,,,new,0,
das Fitnessgerät,معدات اللياقة البدنية,داس فيتنِززغريت,das,,noun,,,new,0,
das Fleisch,اللحم,داس فلآيش,das,,noun,,,new,0,
das Flugzeug,الطائرة,داس فلوغتسأويغ,das,,noun,,,new,0,
das Foto,الصورة,داس فوتو,das,,noun,,,new,0,
das Fotozubehör,ملحقات التصوير,داس فوتوتسوبههور,das,,noun,,,new,0,
das Fragewort,كلمة الاستفهام,داس فراغهفورت,das,,noun,,,new,0,
das Frühjahr,ربيع,داس فروهياهر,das,,noun,,,new,0,
das Frühstück,إفطار,داس فروهزتوك,das,,noun,,,new,0,
das Fußballspiel,مباراة كرة القدم,داس فوسباللزبيل,das,,noun,,,new,0,
das Gadget,الأداة,داس غادغهت,das,,noun,,,new,0,
das Gebot,الوصية,داس غهبوت,das,,noun,,,new,0,
das Gebäck,المعجنات,داس غهبيك,das,,noun,,,new,0,
das Gebäude,المبنى,داس غهبأويده,das,,noun,,,new,0,
das Gefühl,الشعور,داس غهفوهل,das,,noun,,,new,0,
das Gegenteil,بل على العكس من ذلك,داس غهغنتآيل,das,,noun,,,new,0,
das Gehalt,الراتب,داس غههالت,das,,noun,,,new,0,
das Gemüse,الخضار,داس غهموزه,das,,noun,,,new,0,
das Gepäck,الأمتعة,داس غهبيك,das,,noun,,,new,0,
das Gericht,المحكمة,داس غريشت,das,,noun,,,new,0,
das Geschenk,الهدية,داس غهشنك,das,,noun,,,new,0,
das Geschirr,الأطباق,داس غهشيرر,das,,noun,,,new,0,
das Geschäft,العمل,داس غهشيفت,das,,noun,,,new,0,
das Gesicht,الوجه,داس غهزيشت,das,,noun,,,new,0,
das Gesprächsthema,موضوع المحادثة,داس غهزبريشزتهما,das,,noun,,,new,0,
das Getränk,المشروب,داس غهترينك,das,,noun,,,new,0,
das Gewicht,الوزن,داس غهفيشت,das,,noun,,,new,0,
das Glas,الزجاج,داس غلاز,das,,noun,,,new,0,
das Gleis,المسار,داس غلآيز,das,,noun,,,new,0,
das Gramm,الغرام,داس غرامم,das,,noun,,,new,0,
das Grundeinkommen,الدخل الأساسي,داس غروندآينكوممن,das,,noun,,,new,0,
das Gymnasium,المدرسة الثانوية,داس غيمنازيوم,das,,noun,,,new,0,
das Gästebuch,دفتر الزوار,داس غيزتهبوخ,das,,noun,,,new,0,
das Haar,الشعر,داس هاار,das,,noun,,,new,0,
das Handtuch,المنشفة,داس هاندتوخ,das,,noun,,,new,0,
das Handwerk,الحرفة,داس هاندفرك,das,,noun,,,new,0,
das Hauptthema,الموضوع الرئيسي,داس هآوبتتهما,das,,noun,,,new,0,
das Haus,المنزل,داس هآوز,das,,noun,,,new,0,
das Hausmittel,العلاج المنزلي,داس هآوزميتتل,das,,noun,,,new,0,
das Heft,الكتيب,داس هِفت,das,,noun,,,new,0,
das Hemd,القميص,داس هِمد,das,,noun,,,new,0,
das Herzzentrum,مركز القلب,داس هرتستسنتروم,das,,noun,,,new,0,
das Hobby,الهواية,داس هوببي,das,,noun,,,new,0,
das Hochhaus,ناطحة السحاب,داس هوخهآوز,das,,noun,,,new,0,
das Holz,الخشب,داس هولتس,das,,noun,,,new,0,
das Hotel,الفندق,داس هوتل,das,,noun,,,new,0,
das Hähnchen,الدجاج,داس هيهنشن,das,,noun,,,new,0,
das Internet,الإنترنت,داس ينترنِت,das,,noun,,,new,0,
das Interview,المقابلة,داس ينترفيف,das,,noun,,,new,0,
das Jahr,السنة,داس ياهر,das,,noun,,,new,0,
das Jahrestreffen,الاجتماع السنوي,داس ياهرِزترِففن,das,,noun,,,new,0,
das Jahrhundert,القرن,داس ياهرهوندرت,das,,noun,,,new,0,
das Job-Portal,بوابة التوظيف,داس يوب-بورتال,das,,noun,,,new,0,
das Kabel,الكابل,داس كابل,das,,noun,,,new,0,
das Kaffeehaus,المقهى,داس كاففِِهآوز,das,,noun,,,new,0,
das Kapitel,الفصل,داس كابيتل,das,,noun,,,new,0,
das Karussell,الملاهي الدوارة,داس كاروززلل,das,,noun,,,new,0,
das Kaufhaus,المتجر متعدد الأقسام,داس كآوفهآوز,das,,noun,,,new,0,
das Kilo,الكيلو,داس كيلو,das,,noun,,,new,0,
das Kilogramm,الكيلوغرام,داس كيلوغرامم,das,,noun,,,new,0,
das Kinderzimmer,غرفة الأطفال,داس كيندرتسيممر,das,,noun,,,new,0,
das Kino,السينما,داس كينو,das,,noun,,,new,0,
das Klassenzimmer,الفصل الدراسي,داس كلاززنتسيممر,das,,noun,,,new,0,
das Kleid,الفستان,داس كلآيد,das,,noun,,,new,0,
das Kleidergeschäft,متجر الملابس,داس كلآيدرغهشيفت,das,,noun,,,new,0,
das Knie,الركبة,داس كني,das,,noun,,,new,0,
das Kofferpacken,تعبئة الحقيبة,داس كوففرباكن,das,,noun,,,new,0,
das Kompositum,المركب,داس كومبوزيتوم,das,,noun,,,new,0,
das Konzert,الحفل,داس كونتسرت,das,,noun,,,new,0,
das Konzerthaus,قاعة الحفلات الموسيقية,داس كونتسرتآوز,das,,noun,,,new,0,
das Krankenhaus,المستشفى,داس كرانكنهآوز,das,,noun,,,new,0,
das Kulturfestival,المهرجان الثقافي,داس كولتورفِزتيفال,das,,noun,,,new,0,
das Kunstmuseum,متحف الفنون,داس كونزتموزأويم,das,,noun,,,new,0,
das Kursplakat,ملصق الدورة,داس كورزبلاكات,das,,noun,,,new,0,
das Käsebrot,خبز الجبن,داس كيزِبروت,das,,noun,,,new,0,
das Label,العلامة,داس لابل,das,,noun,,,new,0,
das Labor,المختبر,داس لابور,das,,noun,,,new,0,
das Land,البلد,داس لاند,das,,noun,,,new,0,
das Leben,الحياة,داس لِبن,das,,noun,,,new,0,
das Lebensmittel,الطعام,داس لِبنزميتتل,das,,noun,,,new,0,
das Lieblingszimmer,الغرفة المفضلة,داس ليبلينغزتسيممر,das,,noun,,,new,0,
das Lied,الأغنية,داس ليد,das,,noun,,,new,0,
das Loft,العلية,داس لوفت,das,,noun,,,new,0,
das Lokal,المطعم,داس لوكال,das,,noun,,,new,0,
das Mal,الوقت,داس مال,das,,noun,,,new,0,
das Maß,الإجراء,داس ماس,das,,noun,,,new,0,
das Medikament,الدواء,داس مِديكامنت,das,,noun,,,new,0,
das Meer,البحر,داس مِر,das,,noun,,,new,0,
das Messer,السكين,داس مِززر,das,,noun,,,new,0,
das Missfallen,الاستياء,داس ميززفاللن,das,,noun,,,new,0,
das Mistwetter,الطقس السيئ,داس ميزتفِتتر,das,,noun,,,new,0,
das Mitglied,العضو,داس ميتغليد,das,,noun,,,new,0,
das Mittagessen,الغداء,داس ميتتاغهززن,das,,noun,,,new,0,
das Modalverb,الفعل الناقص,داس مودالفرب,das,,noun,,,new,0,
das Modell,النموذج,داس مودلل,das,,noun,,,new,0,
das Motorrad,الدراجة النارية,داس موتورراد,das,,noun,,,new,0,
das Museum,المتحف,داس موزأويم,das,,noun,,,new,0,
das Mädchen,الفتاة,داس ميدشن,das,,noun,,,new,0,
das Müsli,الموسلي,داس موزلي,das,,noun,,,new,0,
das Netz,الشبكة,داس نِتس,das,,noun,,,new,0,
das Nomen,الاسم,داس نومن,das,,noun,,,new,0,
das Obst,الفاكهة,داس وبزت,das,,noun,,,new,0,
das Ohr,الأذن,داس وهر,das,,noun,,,new,0,
das Open-Air-Kino,السينما في الهواء الطلق,داس وبن-آير-كينو,das,,noun,,,new,0,
das Orchester,الأوركسترا,داس ورشِزتر,das,,noun,,,new,0,
das Paar,الزوجان,داس باار,das,,noun,,,new,0,
das Paket,الحزمة,داس باكهت,das,,noun,,,new,0,
das Papier,الورقة,داس بابير,das,,noun,,,new,0,
das Parfüm,العطر,داس بارفوم,das,,noun,,,new,0,
das Parlament,البرلمان,داس بارلامنت,das,,noun,,,new,0,
das Partizip,اسم الفاعل,داس بارتيتسيب,das,,noun,,,new,0,
das Passwort,كلمة المرور,داس باززفورت,das,,noun,,,new,0,
das Pech,سوء الحظ,داس بهش,das,,noun,,,new,0,
das Perfekt,الزمن المثالي,داس برفِكت,das,,noun,,,new,0,
das Personalpronomen,الضمير الشخصي,داس برزونالبرونومن,das,,noun,,,new,0,
das Pferd,الحصان,داس بفرد,das,,noun,,,new,0,
das Pflaster,الرصيف,داس بفلازتر,das,,noun,,,new,0,
das Picknick,النزهة,داس بيكنيك,das,,noun,,,new,0,
das Plakat,الملصق,داس بلاكات,das,,noun,,,new,0,
das Plastik,البلاستيك,داس بلازتيك,das,,noun,,,new,0,
das Profil,الملف الشخصي,داس بروفيل,das,,noun,,,new,0,
das Programm,البرنامج,داس بروغرامم,das,,noun,,,new,0,
das Projekt,المشروع,داس برويِكت,das,,noun,,,new,0,
das Pronomen,الضمير,داس برونومن,das,,noun,,,new,0,
das Präfix,البادئة,داس بريفيكس,das,,noun,,,new,0,
das Präsens,المضارع,داس بريزنز,das,,noun,,,new,0,
das Präteritum,الماضي,داس بريتريتوم,das,,noun,,,new,0,
das Publikum,الجمهور,داس بوبليكوم,das,,noun,,,new,0,
das Radio,الراديو,داس راديو,das,,noun,,,new,0,
das Ratebild,صورة التخمين,داس راتهبيلد,das,,noun,,,new,0,
das Rathaus,قاعة المدينة,داس راتآوز,das,,noun,,,new,0,
das Redemittel,العبارة,داس رِدِميتتل,das,,noun,,,new,0,
das Reflexivpronomen,الضمير الانعكاسي,داس رِفلِكسيفبرونومن,das,,noun,,,new,0,
das Reihenhaus,المنزل المتدرج,داس رآيهنهآوز,das,,noun,,,new,0,
das Reisebüro,وكالة السفر,داس رآيزِبورو,das,,noun,,,new,0,
das Reiseziel,الوجهة,داس رآيزِتسيل,das,,noun,,,new,0,
das Requiem,القداس الجنائزي,داس رِكفيم,das,,noun,,,new,0,
das Restaurant,المطعم,داس رِزتآورانت,das,,noun,,,new,0,
das Rezept,الوصفة,داس رِتسِبت,das,,noun,,,new,0,
das Risiko,المخاطر,داس ريزيكو,das,,noun,,,new,0,
das Salz,الملح,داس زالتس,das,,noun,,,new,0,
das Satzende,نهاية الجملة,داس زاتسنده,das,,noun,,,new,0,
das Saxofon,الساكسفون,داس زاكسوفون,das,,noun,,,new,0,
das Schicksal,قدر,داس شيكزال,das,,noun,,,new,0,
das Schiff,السفينة,داس شيفف,das,,noun,,,new,0,
das Schild,الدرع,داس شيلد,das,,noun,,,new,0,
das Schlafzimmer,غرفة النوم,داس شلافتسيممر,das,,noun,,,new,0,
das Schlüsselwort,الكلمة المفتاحية,داس شلوززلفورت,das,,noun,,,new,0,
das Schnitzel,شنيتزل,داس شنيتسل,das,,noun,,,new,0,
das Schulfach,المادة الدراسية,داس شولفاخ,das,,noun,,,new,0,
das Schulsystem,النظام المدرسي,داس شولزيزتهم,das,,noun,,,new,0,
das Schwimmbad,حمام السباحة,داس شفيممباد,das,,noun,,,new,0,
das Semester,الفصل الدراسي,داس زِمِزتر,das,,noun,,,new,0,
das Seminar,الندوة,داس زِمينار,das,,noun,,,new,0,
das Shooting,إطلاق النار,داس زهووتينغ,das,,noun,,,new,0,
das Skifahren,التزحلق,داس زكيفاهرن,das,,noun,,,new,0,
das Sofa,الأريكة,داس زوفا,das,,noun,,,new,0,
das Sommerfest,مهرجان الصيف,داس زوممرفِزت,das,,noun,,,new,0,
das Souvenir,الهدية التذكارية,داس زووفنير,das,,noun,,,new,0,
das Spiel,اللعبة,داس شبيل,das,,noun,,,new,0,
das Sprachinstitut,معهد اللغات,داس شبراخينزتيتوت,das,,noun,,,new,0,
das Stadion,الملعب,داس شتاديون,das,,noun,,,new,0,
das Stadtprogramm,برنامج المدينة,داس شتادتبروغرامم,das,,noun,,,new,0,
das Stadtzentrum,وسط المدينة,داس شتادتسنتروم,das,,noun,,,new,0,
das Start-Up,الشركة الناشئة,داس شتارت-وب,das,,noun,,,new,0,
das Studio,الاستوديو,داس شتوديو,das,,noun,,,new,0,
das Stück,القطعة,داس شتوك,das,,noun,,,new,0,
das Subjekt,الموضوع,داس زوبيِكت,das,,noun,,,new,0,
das Suppenhuhn,شوربة الدجاج,داس زوببنهوهن,das,,noun,,,new,0,
das Sushi,السوشي,داس زوزهي,das,,noun,,,new,0,
das Sweatshirt,السترة الرياضية,داس زفِاتزهيرت,das,,noun,,,new,0,
das Symbol,الرمز,داس زيمبول,das,,noun,,,new,0,
das T-Shirt,التيشيرت,داس ت-زهيرت,das,,noun,,,new,0,
das Tablet,الجهاز اللوحي,داس تابلِت,das,,noun,,,new,0,
das Talent,الموهبة,داس تالنت,das,,noun,,,new,0,
das Taxi,سيارة الأجرة,داس تاكسي,das,,noun,,,new,0,
das Team,الفريق,داس تهام,das,,noun,,,new,0,
das Telefon,الهاتف,داس تلِفون,das,,noun,,,new,0,
das Telefonat,المكالمة الهاتفية,داس تلِفونات,das,,noun,,,new,0,
das Telefongespräch,المحادثة الهاتفية,داس تلِفونغهزبريش,das,,noun,,,new,0,
das Theater,المسرح,داس تهاتر,das,,noun,,,new,0,
das Theater-Festival,مهرجان المسرح,داس تهاتر-فِزتيفال,das,,noun,,,new,0,
das Thema,الموضوع,داس تهما,das,,noun,,,new,0,
das Ticket,التذكرة,داس تيكهت,das,,noun,,,new,0,
das Tier,الحيوان,داس تير,das,,noun,,,new,0,
das Training,التدريب,داس ترآينينغ,das,,noun,,,new,0,
das Trinkgeld,طرف,داس ترينكغلد,das,,noun,,,new,0,
das Tuch,القماش,داس توخ,das,,noun,,,new,0,
das Unicafe,مقهى يونيكافيه,داس ونيكافه,das,,noun,,,new,0,
das Untergeschoss,القبو,داس ونترغهشوزز,das,,noun,,,new,0,
das Verb,الفعل,داس فرب,das,,noun,,,new,0,
das Verbot,الحظر,داس فربوت,das,,noun,,,new,0,
das Verkehrsmittel,وسائل النقل,داس فركههرزميتتل,das,,noun,,,new,0,
das Video,الفيديو,داس فيدِو,das,,noun,,,new,0,
das Viertel,الربع,داس فيرتل,das,,noun,,,new,0,
das Visum,التأشيرة,داس فيزوم,das,,noun,,,new,0,
das Vorstellungsgespräch,مقابلة العمل,داس فورزتللونغزغهزبريش,das,,noun,,,new,0,
das W-Wort,كلمة تبدأ بحرف W,داس ف-فورت,das,,noun,,,new,0,
das Wasser,الماء,داس فاززر,das,,noun,,,new,0,
das WC,المرحاض,داس فك,das,,noun,,,new,0,
das Wetter,الطقس,داس فِتتر,das,,noun,,,new,0,
das Wissen,المعرفة,داس فيززن,das,,noun,,,new,0,
das WLAN,شبكة الواي فاي,داس فلان,das,,noun,,,new,0,
das Wochenende,عطلة نهاية الأسبوع,داس فوخننده,das,,noun,,,new,0,
das Wohnheim,المهجع,داس فوهنهآيم,das,,noun,,,new,0,
das Wohnzimmer,غرفة المعيشة,داس فوهنتسيممر,das,,noun,,,new,0,
das Wort,الكلمة,داس فورت,das,,noun,,,new,0,
das Wortende,نهاية الكلمة,داس فورتنده,das,,noun,,,new,0,
das Wortinnere,باطن الكلمة,داس فورتيننره,das,,noun,,,new,0,
das Wunder,المعجزة,داس فوندر,das,,noun,,,new,0,
das Wörterbuch,القاموس,داس فورتربوخ,das,,noun,,,new,0,
das Würstchen,النقانق,داس فورزتشن,das,,noun,,,new,0,
das Würstel,النقانق,داس فورزتل,das,,noun,,,new,0,
das Zelt,الخيمة,داس تسلت,das,,noun,,,new,0,
das Zentrum,المركز,داس تسنتروم,das,,noun,,,new,0,
das Zeugnis,الشهادة,داس تسأويغنيز,das,,noun,,,new,0,
das Zimmer,الغرفة,داس تسيممر,das,,noun,,,new,0,
das Öl,الزيت,داس ول,das,,noun,,,new,0,
das Übungsbuch,دفتر التمارين,داس وبونغزبوخ,das,,noun,,,new,0,
dasein,أن أكون هناك,دازآين,,,word,,,new,0,
dauern,آخر,دآورن,,,word,,,new,0,
dazu,فضلاً عن ذلك,داتسو,,,word,,,new,0,
dazugehören,وهذا يشمل,داتسوغههورن,,,word,,,new,0,
dazulkommen,إلى اللقاء,داتسولكوممن,,,word,,,new,0,
dein,لك,دآين,,,word,,,new,0,
dem,ديم,دِم,,,word,,,new,0,
den,ال,دن,,,word,,,new,0,
denken,يفكر,دنكن,,,word,,,new,0,
der,ال,دير,,,word,,,new,0,
der Abend,المساء,دير ابند,der,,noun,,,new,0,
der Abschluss,الخاتمة,دير ابشلوزز,der,,noun,,,new,0,
der Abschrift,نص المحضر,دير ابشريفت,der,,noun,,,new,0,
der Absender,المرسل,دير ابزندر,der,,noun,,,new,0,
der Actionfilm,فيلم الحركة,دير اكتسيونفيلم,der,,noun,,,new,0,
der Akku,البطارية,دير اككو,der,,noun,,,new,0,
der Akkusativ,حالة النصب,دير اككوزاتيف,der,,noun,,,new,0,
der Alltag,الحياة اليومية,دير اللتاغ,der,,noun,,,new,0,
der Altenpfleger,ممرضة رعاية المسنين,دير التنبفلِغر,der,,noun,,,new,0,
der Anfangsbuchstabe,الحرف الأول,دير انفانغزبوخزتابه,der,,noun,,,overdue,27,
der Anhang,الملحق,دير انهانغ,der,,noun,,,new,0,
der Anrufer,المتصل,دير انروفر,der,,noun,,,new,0,
der Anschluss,الاتصال,دير انشلوزز,der,,noun,,,new,0,
der Antrag,التطبيق,دير انتراغ,der,,noun,,,new,0,
der Anzug,الدعوى,دير انتسوغ,der,,noun,,,new,0,
der Apfel,شركة أبل,دير ابفل,der,,noun,,,new,0,
der Apfelsaft,عصير التفاح,دير ابفلزافت,der,,noun,,,new,0,
der April,أبريل,دير ابريل,der,,noun,,,new,0,
der Arbeitsalltag,الروتين اليومي للعمل,دير اربآيتزاللتاغ,der,,noun,,,new,0,
der Arbeitsplatz,مكان العمل,دير اربآيتزبلاتس,der,,noun,,,new,0,
der Arbeitstag,يوم العمل,دير اربآيتزتاغ,der,,noun,,,new,0,
der Architekt,المهندس المعماري,دير ارشيتهكت,der,,noun,,,new,0,
der Arm,الذراع,دير ارم,der,,noun,,,new,0,
der Artikel,المقال,دير ارتيكل,der,,noun,,,new,0,
der Arzt,الطبيب,دير ارتست,der,,noun,,,new,0,
der Arztbesuch,زيارة الطبيب,دير ارتستبهزوخ,der,,noun,,,new,0,
der Arzthelfer,المساعد الطبي,دير ارتستلفر,der,,noun,,,new,0,
der Aufenthalt,الإقامة,دير آوفنتالت,der,,noun,,,new,0,
der Aufzug,المصعد,دير آوفتسوغ,der,,noun,,,new,0,
der Augenoptiker,أخصائي البصريات,دير آوغنوبتيكر,der,,noun,,,new,0,
der August,أغسطس,دير آوغوزت,der,,noun,,,new,0,
der Ausdruck,التعبير,دير آوزدروك,der,,noun,,,new,0,
der Ausflug,الرحلة,دير آوزفلوغ,der,,noun,,,new,0,
der Ausgang,النتيجة,دير آوزغانغ,der,,noun,,,new,0,
der Aussagesatz,الجملة الخبرية,دير آوززاغهزاتس,der,,noun,,,new,0,
der Austausch,البورصة,دير آوزتآوش,der,,noun,,,new,0,
der Ausweis,بطاقة الهوية,دير آوزفآيز,der,,noun,,,new,0,
der Automat,الآلة,دير آوتومات,der,,noun,,,new,0,
der Azubi,المتدرب,دير اتسوبي,der,,noun,,,new,0,
der Badeanzug,ملابس السباحة,دير بادِانتسوغ,der,,noun,,,new,0,
der Badeurlaub,عطلة الشاطئ,دير بادأويرلآوب,der,,noun,,,new,0,
der Bahnsteig,المنصة,دير باهنزتآيغ,der,,noun,,,new,0,
der Balkon,الشرفة,دير بالكون,der,,noun,,,new,0,
der Ball,الكرة,دير بالل,der,,noun,,,new,0,
der Bauch,البطن,دير بآوش,der,,noun,,,new,0,
der Baum,الشجرة,دير بآوم,der,,noun,,,new,0,
der Beamte,المسؤول,دير بهامته,der,,noun,,,new,0,
der Becher,الكأس,دير بهشر,der,,noun,,,new,0,
der Beginn,البداية,دير بهغينن,der,,noun,,,new,0,
der Beitrag,المساهمة,دير بآيتراغ,der,,noun,,,new,0,
der Berg,الجبل,دير برغ,der,,noun,,,new,0,
der Bericht,التقرير,دير بريشت,der,,noun,,,new,0,
der Berufswechsel,تغيير المسار الوظيفي,دير بروفزفِشزل,der,,noun,,,new,0,
der Berufswunsch,الطموح الوظيفي,دير بروفزفونش,der,,noun,,,new,0,
der Bescheid,القرار,دير بهشآيد,der,,noun,,,new,0,
der Besuch,الزيارة,دير بهزوخ,der,,noun,,,new,0,
der Besucher,الزائر,دير بهزوخر,der,,noun,,,new,0,
der Betrag,المبلغ,دير بهتراغ,der,,noun,,,new,0,
der Betreff,الموضوع,دير بهترِفف,der,,noun,,,new,0,
der Betrieb,العملية,دير بهتريب,der,,noun,,,new,0,
der Bewohner,المقيم,دير بهفوهنر,der,,noun,,,new,0,
der Biergarten,حديقة البيرة,دير بيرغارتن,der,,noun,,,new,0,
der Bikini,البيكيني,دير بيكيني,der,,noun,,,new,0,
der Bildschirm,الشاشة,دير بيلدشيرم,der,,noun,,,new,0,
der Bleistift,القلم الرصاص,دير بلآيزتيفت,der,,noun,,,new,0,
der Blick,المنظر,دير بليك,der,,noun,,,new,0,
der Blog,المدونة,دير بلوغ,der,,noun,,,new,0,
der Blogbeitrag,منشور المدونة,دير بلوغبآيتراغ,der,,noun,,,new,0,
der Brief,الرسالة,دير بريف,der,,noun,,,new,0,
der Briefstandard,معيار الحروف,دير بريفزتاندارد,der,,noun,,,new,0,
der Buchladen,المكتبة,دير بوخلادن,der,,noun,,,new,0,
der Buchstabe,الرسالة,دير بوخزتابه,der,,noun,,,new,0,
der Bus,الحافلة,دير بوز,der,,noun,,,new,0,
der Busfahrer,سائق الحافلة,دير بوزفاهرر,der,,noun,,,new,0,
der Bäcker,الخباز,دير بيكر,der,,noun,,,new,0,
der Campingurlaub,عطلة التخييم,دير كامبينغورلآوب,der,,noun,,,new,0,
der Cent,السنت,دير كنت,der,,noun,,,new,0,
der Champignon,الفطر,دير شامبيغنون,der,,noun,,,new,0,
der Chef,المدير,دير شِف,der,,noun,,,new,0,
der Chor,الجوقة,دير شور,der,,noun,,,new,0,
der Club,النادي,دير كلوب,der,,noun,,,new,0,
der Comic,الكوميديا,دير كوميك,der,,noun,,,new,0,
der Computer,الحاسوب,دير كومبوتر,der,,noun,,,new,0,
der Dank,شكرًا,دير دانك,der,,noun,,,new,0,
der Dativ,المفعول به,دير داتيف,der,,noun,,,new,0,
der Daumen,الإبهام,دير دآومن,der,,noun,,,new,0,
der Deckel,الغطاء,دير دِكل,der,,noun,,,new,0,
der Demonstrativartikel,أداة الإشارة,دير دِمونزتراتيفارتيكل,der,,noun,,,new,0,
der Designer,المصمم,دير دِزيغنر,der,,noun,,,new,0,
der Designfan,مُحب التصميم,دير دِزيغنفان,der,,noun,,,new,0,
der Dezember,ديسمبر,دير دِتسِمبر,der,,noun,,,new,0,
der Dialog,الحوار,دير ديالوغ,der,,noun,,,new,0,
der Diebstahl,السرقة,دير ديبزتاهل,der,,noun,,,new,0,
der Dienstag,يوم الثلاثاء,دير دينزتاغ,der,,noun,,,new,0,
der Direktor,المخرج,دير ديرِكتور,der,,noun,,,new,0,
der Doktor,الطبيب,دير دوكتور,der,,noun,,,new,0,
der Dom,الكاتدرائية,دير دوم,der,,noun,,,new,0,
der Donnerstag,يوم الخميس,دير دوننرزتاغ,der,,noun,,,new,0,
der Drucker,الطابعة,دير دروكر,der,,noun,,,new,0,
der Durst,العطش,دير دورزت,der,,noun,,,new,0,
der Döner,كباب الدونر,دير دونر,der,,noun,,,new,0,
der E-Book-Reader,قارئ الكتب الإلكترونية,دير ه-بووك-رِادر,der,,noun,,,new,0,
der Ehemann,الزوج,دير ِهِمانن,der,,noun,,,new,0,
der Eingang,المدخل,دير آينغانغ,der,,noun,,,new,0,
der Einkauf,عملية الشراء,دير آينكآوف,der,,noun,,,new,0,
der Einkaufswagen,عربة التسوق,دير آينكآوفزفاغن,der,,noun,,,new,0,
der Einkaufszettel,قائمة التسوق,دير آينكآوفزتسِتتل,der,,noun,,,new,0,
der Eintrag,المدخل,دير آينتراغ,der,,noun,,,new,0,
der Eintritt,المدخل,دير آينتريتت,der,,noun,,,new,0,
der Elektriker,الكهربائي,دير لِكتريكر,der,,noun,,,new,0,
der Emmentaler,إيمنتالر,دير ِممنتالر,der,,noun,,,new,0,
